areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-05-15,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-15,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-05-15,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-15,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-05-15,VOC-22APR-03 (Omicron BA.4),110521.0,7.9
E12000001,North East,region,2022-05-15,VOC-22APR-04 (Omicron BA.5),110521.0,3.7
E12000001,North East,region,2022-05-15,VOC-22JAN-01 (Omicron BA.2),110521.0,87.8
E12000001,North East,region,2022-05-08,Other,0.0,0.0
E12000001,North East,region,2022-05-08,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-08,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-05-08,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-08,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-05-08,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-08,VOC-21NOV-01 (Omicron BA.1),110357.0,0.4
E12000001,North East,region,2022-05-08,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-05-08,VOC-22APR-04 (Omicron BA.5),110357.0,1.8
E12000001,North East,region,2022-05-08,VOC-22JAN-01 (Omicron BA.2),110357.0,97.8
E12000001,North East,region,2022-05-01,Other,110129.0,0.3
E12000001,North East,region,2022-05-01,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-01,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-05-01,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-01,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-05-01,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-01,VOC-21NOV-01 (Omicron BA.1),110129.0,0.7
E12000001,North East,region,2022-05-01,VOC-22APR-03 (Omicron BA.4),110129.0,0.3
E12000001,North East,region,2022-05-01,VOC-22APR-04 (Omicron BA.5),110129.0,1.4
E12000001,North East,region,2022-05-01,VOC-22JAN-01 (Omicron BA.2),110129.0,97.3
E12000001,North East,region,2022-04-24,Other,109837.0,0.5
E12000001,North East,region,2022-04-24,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-04-24,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-04-24,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-04-24,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-04-24,V-22OCT-01 (Omicron BQ.1),0.0,0.0
